Counties,Homicide,Offences against morality,Other offences against persons,Robbery,Breakings,Theft of Stock,Stealing,Theft by workers,Vehicle theft,Dangerous drugs,Traffic offences,Criminal damage,Economic crimes,Corruption,Offences involving police,Offences involving tourists,other penal code offences,year
MOMBASA,38,279,456,114,77,4,473,82,47,251,2,99,175,1,1,1,258,2021
KWALE,41,188,208,21,40,28,128,11,5,24,1,54,30,0,0,0,122,2021
KILIFI,103,329,460,46,112,51,358,59,37,141,4,104,101,1,0,0,424,2021
TANA RIVER,17,72,172,7,46,19,73,5,9,9,0,45,5,0,0,0,55,2021
LAMU,9,69,80,11,19,8,70,2,2,44,0,7,13,0,2,0,68,2021
TAITA TAVETA,17,120,243,7,28,24,110,12,4,62,0,52,26,0,0,0,90,2021
GARISSA,11,33,346,39,34,16,89,4,1,21,0,45,18,0,0,0,85,2021
WAJIR,4,27,175,28,12,13,35,6,3,25,5,13,6,0,1,0,17,2021
MANDERA,50,37,127,5,8,0,22,0,1,26,6,15,17,3,0,1,20,2021
MARSABIT,59,46,319,41,31,49,92,6,18,21,0,32,21,2,0,0,120,2021
ISIOLO,18,43,196,14,46,35,111,6,20,28,0,47,17,6,0,1,55,2021
MERU,152,246,1662,119,236,155,889,89,57,214,0,413,188,7,1,3,601,2021
THARAKA NITHI,36,80,242,13,58,31,121,14,5,67,2,83,21,0,0,0,111,2021
EMBU,92,133,456,36,98,43,189,22,30,138,1,113,48,0,3,0,131,2021
KITUI,83,224,623,24,130,150,259,20,10,79,14,159,70,1,0,2,317,2021
NYANDARUA,54,174,344,27,157,91,212,29,15,123,0,99,72,0,0,1,162,2021
NYERI,120,130,358,50,137,36,310,29,30,125,2,99,57,0,0,0,175,2021
KIRINYAGA,61,127,428,20,122,17,192,69,14,278,0,135,87,3,4,0,134,2021
MURANGA,142,222,634,62,179,48,321,42,35,468,0,171,65,0,0,0,302,2021
KIAMBU,187,418,1313,235,274,28,1073,165,144,752,32,240,415,14,8,0,417,2021
TURKANA,22,105,211,32,57,80,42,14,9,7,0,16,18,0,1,0,119,2021
WEST POKOT,22,49,181,8,32,32,68,11,15,18,0,73,18,1,0,0,144,2021
SAMBURU,17,21,105,8,17,28,23,9,4,35,0,13,5,0,0,0,31,2021
TRANS NZOIA,43,219,545,55,173,54,221,21,72,61,0,81,86,0,2,0,203,2021
UASIN GISHU,43,212,552,74,133,39,391,64,51,166,0,105,135,0,1,0,209,2021
ELGEYO MARAKWET,31,60,166,16,23,18,61,5,3,19,0,43,9,0,2,0,100,2021
NANDI,42,139,290,11,155,10,110,0,9,44,6,138,29,0,0,0,119,2021
BARINGO,38,79,275,20,32,36,130,11,7,30,0,55,25,0,0,0,94,2021
LAIKIPIA,44,151,266,38,85,79,302,31,21,33,0,55,66,0,1,0,108,2021
NAKURU,140,390,1012,144,290,64,748,106,52,443,12,202,270,0,2,4,402,2021
NAROK,27,117,308,28,58,42,96,9,17,40,0,45,13,0,0,0,90,2021
KAJIADO,54,170,412,66,94,42,297,51,32,77,1,70,84,1,0,0,174,2021
KERICHO,66,174,516,22,79,23,125,22,11,71,1,98,59,3,5,0,52,2021
BOMET,42,153,514,26,37,26,110,14,34,53,0,123,33,0,0,0,58,2021
KAKAMEGA,147,248,631,85,168,34,212,22,36,62,1,88,78,1,0,0,185,2021
VIHIGA,30,113,342,17,99,14,123,6,7,60,0,53,23,0,0,0,65,2021
BUNGOMA,76,260,730,51,165,95,285,24,36,79,0,103,88,0,0,0,201,2021
BUSIA,45,182,396,27,121,54,150,23,9,69,1,70,45,0,0,1,113,2021
SIAYA,90,187,447,27,98,51,122,12,14,92,0,51,23,0,0,0,124,2021
KISUMU,83,246,587,90,147,39,336,89,28,148,2,118,107,5,4,2,227,2021
HOMA BAY,95,218,490,44,132,37,210,52,15,69,0,81,61,0,2,4,200,2021
MIGORI,92,158,389,37,53,36,89,34,15,49,12,64,53,1,4,0,188,2021
KISII,123,325,974,74,191,26,310,22,28,152,2,205,111,18,0,0,261,2021
NYAMIRA,133,148,488,52,64,32,113,11,10,69,0,83,32,1,0,0,115,2021
NAIROBI,224,509,1373,352,251,3,1154,338,187,515,6,206,871,4,18,11,664,2021
MACHAKOS,97,302,803,104,233,73,520,101,48,248,8,253,139,15,0,0,331,2021
MAKUENI,120,246,504,27,130,51,202,19,21,128,1,95,53,2,13,0,258,2021
