,KAJIADO,35,104,461,63,128,43,241,81,51,145,1,49,90,1.1,3,0,154,1650
0,BUSIA,44,140,497,50,169,33,263,47,38,53,2,78,72,0,0,2,151,1639
1,EMBU,51,83,548,31,136,21,206,77,19,162,0,116,49,0,2,1,131,1633
2,KIRINYAGA,42,99,503,26,128,29,213,55,18,186,0,110,70,2,1,0,131,1613
3,MAKUENI,70,130,473,37,148,61,240,40,25,90,0,105,34,1,1,0,138,1593
4,KAKAMEGA,42,115,485,53,163,44,209,63,24,78,1,89,71,1,1,0,145,1584
5,KERICHO,61,98,624,43,121,57,153,38,31,55,2,125,52,0,0,0,64,1524
6,NYANDARUA,69,127,328,38,178,73,197,52,15,99,1,81,41,1,2,0,100,1402
7,HOMA BAY,59,109,457,47,125,51,166,29,16,64,4,78,42,0,0,0,85,1332
8,SIAYA,86,125,448,23,146,38,134,16,21,54,0,102,23,0,0,0,105,1321
9,MIGORI,74,78,400,64,107,39,153,14,23,54,0,63,40,3,0,0,169,1281
10,LAIKIPIA,37,76,300,37,104,114,219,41,12,53,10,81,53,0,1,0,82,1220
11,NANDI,30,94,424,29,110,30,132,12,9,47,0,61,26,6,0,0,138,1148
12,NAROK,44,91,364,35,89,86,132,36,19,39,0,65,26,0,3,0,81,1110
13,TURKANA,44,100,339,49,80,120,93,7,19,28,5,29,19,0,1,0,159,1092
14,NYAMIRA,81,128,372,60,97,37,101,11,6,37,0,56,13,0,0,0,92,1091
15,KWALE,42,137,214,65,53,43,129,22,15,32,0,30,19,0,8,0,42,851
16,BOMET,34,64,364,15,68,28,73,11,19,29,0,91,19,1,0,0,34,850
17,THARAKA NITHI,34,38,294,19,65,34,98,19,10,45,0,66,19,0,0,0,105,846
18,BARINGO,56,55,314,11,69,59,68,22,9,14,1,48,21,0,0,0,74,821
19,VIHIGA,27,82,288,32,84,8,89,3,5,58,0,46,13,0,0,0,29,764
20,MARSABIT,35,43,333,26,26,20,69,14,9,38,0,45,9,0,0,0,69,736
21,TAITA TAVETA,24,58,178,23,72,33,86,24,10,46,1,39,17,2,0,1,65,679
